 ##################################################################################
 # [fnlo-tk-yodaout] Evaluating table: ./2jet.NNLO.fnl5662j_mjj8_chi_norm_v25.tab.gz
 # [fnlo-tk-yodaout] Using PDF set   : CT14nnlo
 # [fnlo-tk-yodaout] Showing uncertainty from asymmetric 6-point scale factor variation.
 # [fnlo-tk-yodaout] Deriving NNLO cross sections for comparison.
 # [fnlo-tk-yodaout] Normalizing cross sections. 
 # [fnlo-tk-yodaout] Using scale definition kScale1.
 # [fnlo-tk-yodaout] No request given for central scale factor, using unmodified central scale.
 # [fnlo-tk-yodaout] Do not apply nonperturbative corrections.
 # [fnlo-tk-yodaout] No request given for x-axis rescale factor, using default value of unity.
 # [fnlo-tk-yodaout] No request given for uncertainty rescale factor, using default value of unity.
 # [fnlo-tk-yodaout] Using verbosity level: WARNING
 ##################################################################################

 ##################################################################################
 # fastNLOReader: Evaluating uncertainties
 ##################################################################################
 #=================================================================================
 # Relative scale uncertainties (6P CT14nnlo NNLO)
 #---------------------------------------------------------------------------------
 # bin      cross_section           lower_uncertainty       upper_uncertainty
 #- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
    1       7.63524800841E-02      -2.60834963588E-02       9.66014191416E-03
    2       6.46803227555E-02      -2.16346012274E-02       8.09918683247E-03
    3       6.44188005213E-02      -2.05592711366E-02       9.10471000290E-03
    4       6.19638749678E-02      -2.45663329125E-02       2.46542141710E-03
    5       6.33123044283E-02      -1.34561561207E-02       0.00000000000E+00
    6       6.23637810110E-02      -3.24545276084E-02       1.24366192104E-02
    7       6.56760553686E-02      -3.95345338682E-03       6.36792253179E-03
    8       6.62303703405E-02      -1.61096473231E-03       4.44398512524E-03
    9       6.42474554384E-02      -2.78953950802E-02       2.05686167209E-02
   10       6.65878526508E-02      -1.33611804681E-02       1.58060158349E-02
   11       6.48382812494E-02      -5.47454673820E-03       2.05586337926E-02
   12       7.39511436420E-02      -1.13185087562E-02       5.03443509728E-02
 #- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

 ##################################################################################
 #
 # Compiled without YODA support ==> No YODA file produced!
 #
 ##################################################################################

