 ##################################################################################
 # [fnlo-tk-yodaout] Evaluating table: ./2jet.NNLO.fnl5662j_mjj7_chi_norm_v25.tab.gz
 # [fnlo-tk-yodaout] Using PDF set   : NNPDF31_nnlo_as_0118
 # [fnlo-tk-yodaout] Showing statistical uncertainty of x section calculation.
 # [fnlo-tk-yodaout] Deriving NNLO cross sections for comparison.
 # [fnlo-tk-yodaout] Preparing unnormalized cross sections.
 # [fnlo-tk-yodaout] Using scale definition kScale2.
 # [fnlo-tk-yodaout] No request given for central scale factor, using unmodified central scale.
 # [fnlo-tk-yodaout] Do not apply nonperturbative corrections.
 # [fnlo-tk-yodaout] No request given for x-axis rescale factor, using default value of unity.
 # [fnlo-tk-yodaout] No request given for uncertainty rescale factor, using default value of unity.
 # [fnlo-tk-yodaout] Using verbosity level: WARNING
 ##################################################################################

LHAPDF 6.5.4 loading /home/rabbertz/local/share/LHAPDF/NNPDF31_nnlo_as_0118/NNPDF31_nnlo_as_0118_0000.dat
NNPDF31_nnlo_as_0118 PDF set, member #0, version 1; LHAPDF ID = 303600
LHAPDF 6.5.4 loading /home/rabbertz/local/share/LHAPDF/NNPDF31_nnlo_as_0118/NNPDF31_nnlo_as_0118_0000.dat
NNPDF31_nnlo_as_0118 PDF set, member #0, version 1; LHAPDF ID = 303600
 ##################################################################################
 # fastNLOReader: Evaluating uncertainties
 ##################################################################################
 #=================================================================================
 # Relative statistical uncertainties (ST NNPDF31_nnlo_as_0118 NNLO)
 #---------------------------------------------------------------------------------
 # bin      cross_section           lower_uncertainty       upper_uncertainty
 #- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
    1       4.67760839339E-06      -4.57019398851E-03       4.57019398851E-03
    2       3.97219278898E-06      -2.31239616951E-03       2.31239616951E-03
    3       3.96358249816E-06      -2.67383203918E-03       2.67383203918E-03
    4       4.00508742396E-06      -2.87462053747E-03       2.87462053747E-03
    5       4.08826183184E-06      -3.38858431551E-03       3.38858431551E-03
    6       4.22769384037E-06      -1.04604015695E-02       1.04604015695E-02
    7       4.11527795090E-06      -4.56162490481E-03       4.56162490481E-03
    8       4.23890104159E-06      -5.54518212846E-03       5.54518212846E-03
    9       4.27043362784E-06      -6.31461332367E-03       6.31461332367E-03
   10       4.38877751808E-06      -5.95166012906E-03       5.95166012906E-03
   11       4.45901659546E-06      -8.05346594113E-03       8.05346594113E-03
   12       4.45785656327E-06      -8.27272648786E-03       8.27272648786E-03
 #- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

 ##################################################################################
 #
 # NNLO_NNPDF31_nnl_ST_no_kScale2_no.yoda was successfully produced
 #
 ##################################################################################

