 ##################################################################################
 # [fnlo-tk-yodaout] Evaluating table: ./2jet.NNLO.fnl5662j_mjj8_chi_norm_v25.tab.gz
 # [fnlo-tk-yodaout] Using PDF set   : CT14nnlo
 # [fnlo-tk-yodaout] Showing uncertainty from asymmetric 6-point scale factor variation.
 # [fnlo-tk-yodaout] Deriving NNLO cross sections for comparison.
 # [fnlo-tk-yodaout] Normalizing cross sections. 
 # [fnlo-tk-yodaout] Using scale definition kScale2.
 # [fnlo-tk-yodaout] No request given for central scale factor, using unmodified central scale.
 # [fnlo-tk-yodaout] Do not apply nonperturbative corrections.
 # [fnlo-tk-yodaout] No request given for x-axis rescale factor, using default value of unity.
 # [fnlo-tk-yodaout] No request given for uncertainty rescale factor, using default value of unity.
 # [fnlo-tk-yodaout] Using verbosity level: WARNING
 ##################################################################################

 ##################################################################################
 # fastNLOReader: Evaluating uncertainties
 ##################################################################################
 #=================================================================================
 # Relative scale uncertainties (6P CT14nnlo NNLO)
 #---------------------------------------------------------------------------------
 # bin      cross_section           lower_uncertainty       upper_uncertainty
 #- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
    1       7.34526958290E-02      -2.98047845619E-03       6.62038499598E-03
    2       6.25384261607E-02      -2.00984421124E-03       5.51213516163E-03
    3       6.23695728461E-02      -2.74886463509E-03       7.32533641423E-03
    4       6.15554911362E-02      -6.75765012015E-03       5.33277045919E-03
    5       6.28590122400E-02      -3.09426012726E-03       3.04321172993E-03
    6       6.31923674648E-02      -1.09785092613E-02       6.94831731111E-03
    7       6.52336653256E-02      -1.27435754943E-04       1.58770606776E-03
    8       6.61175131224E-02      -7.72487848240E-04       1.38749472136E-03
    9       6.61416323619E-02      -9.88000068502E-03       5.08637058949E-03
   10       6.81910824664E-02      -4.32509121623E-03       1.21783617242E-03
   11       6.72567385824E-02      -8.20782965438E-03       4.74684470843E-03
   12       7.28219907078E-02      -1.09066734375E-02       1.48886750287E-02
 #- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

 ##################################################################################
 #
 # Compiled without YODA support ==> No YODA file produced!
 #
 ##################################################################################

