 ##################################################################################
 # [fnlo-tk-cppread] Evaluating table: ./2jet.NNLO.fnl5662j_mjj5_chi_norm_v25.tab.gz
 # [fnlo-tk-cppread] Using PDF set   : NNPDF31_nnlo_as_0118
 # [fnlo-tk-cppread] If possible, will try to do all PDF members.
 # [fnlo-tk-cppread] Using alpha_s evolution code: LHAPDF
 # [fnlo-tk-cppread] Preparing unnormalized cross sections,
 # [fnlo-tk-cppread] Using scale definition kScale2
 # [fnlo-tk-cppread] No request for central scale factor, using default of unity.
 # [fnlo-tk-cppread] No request for no. of flavours, using default of LHAPDF or Nf = 5.
 # [fnlo-tk-cppread] No request for no. of loops, using default of LHAPDF or NLoop = 2.
 # [fnlo-tk-cppread] No request for value of alpha_s(M_Z), using default of LHAPDF or asMz = 0.118.
 # [fnlo-tk-cppread] No request for value of M_Z, using default of LHAPDF or Mz = 91.1876.
 # [fnlo-tk-cppread] No request for Ecms, using default as defined in grid.
 # [fnlo-tk-cppread] Using verbosity level: WARNING
 ##################################################################################

LHAPDF 6.5.4 loading /home/rabbertz/local/share/LHAPDF/NNPDF31_nnlo_as_0118/NNPDF31_nnlo_as_0118_0000.dat
NNPDF31_nnlo_as_0118 PDF set, member #0, version 1; LHAPDF ID = 303600
LHAPDF 6.5.4 loading /home/rabbertz/local/share/LHAPDF/NNPDF31_nnlo_as_0118/NNPDF31_nnlo_as_0118_0000.dat
NNPDF31_nnlo_as_0118 PDF set, member #0, version 1; LHAPDF ID = 303600

 ##################################################################################################################################################################
 # [fnlo-tk-cppread] Calculate my cross sections
 ##################################################################################################################################################################
 #=================================================================================================================================================================
 # My Cross Sections
 # The PDF member chosen here is: 0
 #-----------------------------------------------------------------------------------------------------------------------------------------------------------------
 #IObs  BinSize  IODimO  [ Chi               ]  < m12_[GeV]  >  LO_cross_section   NLO_cross_section  NNLO_cross_section   KNLO      KNNLO
 #-----------------------------------------------------------------------------------------------------------------------------------------------------------------
     1  600.0         1   1.000       2.000      3832.          5.01202650493E-05  6.58066546451E-05  6.68228921495E-05    1.31297   1.01544
     2  600.0         2   2.000       3.000      3833.          4.30241826106E-05  5.59987432575E-05  5.64592277503E-05    1.30156   1.00822
     3  600.0         3   3.000       4.000      3833.          4.28157084642E-05  5.55452511574E-05  5.54475598333E-05    1.29731   0.99824
     4  600.0         4   4.000       5.000      3833.          4.34016256327E-05  5.63666329537E-05  5.68495862497E-05    1.29872   1.00857
     5  600.0         5   5.000       6.000      3833.          4.40334750428E-05  5.72813643625E-05  5.73420732335E-05    1.30086   1.00106
     6  600.0         6   6.000       7.000      3833.          4.46147993166E-05  5.81579600555E-05  5.87828363014E-05    1.30356   1.01074
     7  600.0         7   7.000       8.000      3833.          4.51186328514E-05  5.91229207443E-05  5.93210607512E-05    1.31039   1.00335
     8  600.0         8   8.000       9.000      3833.          4.55293519626E-05  5.97812803683E-05  5.98811404889E-05    1.31303   1.00167
     9  600.0         9   9.000       10.00      3832.          4.58597436440E-05  6.05172548605E-05  6.17345321247E-05    1.31962   1.02011
    10  1200.        10   10.00       12.00      3833.          4.63376569536E-05  6.14407792611E-05  6.18063408155E-05    1.32594   1.00595
    11  1200.        11   12.00       14.00      3833.          4.68048804649E-05  6.24247435933E-05  6.45914509045E-05    1.33372   1.03471
    12  1200.        12   14.00       16.00      3833.          4.71898648049E-05  6.32605257864E-05  6.48930113867E-05    1.34055   1.02581
 #=================================================================================================================================================================
 # My Cross Sections
 # The PDF member chosen here is: 1
 #-----------------------------------------------------------------------------------------------------------------------------------------------------------------
 #IObs  BinSize  IODimO  [ Chi               ]  < m12_[GeV]  >  LO_cross_section   NLO_cross_section  NNLO_cross_section   KNLO      KNNLO
 #-----------------------------------------------------------------------------------------------------------------------------------------------------------------
     1  600.0         1   1.000       2.000      3832.          5.06728848434E-05  6.66839693317E-05  6.77673260983E-05    1.31597   1.01625
     2  600.0         2   2.000       3.000      3832.          4.35922762019E-05  5.68372170155E-05  5.73381387860E-05    1.30384   1.00881
     3  600.0         3   3.000       4.000      3832.          4.34463588084E-05  5.64428700600E-05  5.63626754958E-05    1.29914   0.99858
     4  600.0         4   4.000       5.000      3832.          4.40842347202E-05  5.73213969207E-05  5.78341126547E-05    1.30027   1.00894
     5  600.0         5   5.000       6.000      3832.          4.47567657013E-05  5.82780505761E-05  5.83532726568E-05    1.30211   1.00129
     6  600.0         6   6.000       7.000      3833.          4.53698670776E-05  5.91955592396E-05  5.98486667736E-05    1.30473   1.01103
     7  600.0         7   7.000       8.000      3833.          4.58986287729E-05  6.01983957931E-05  6.04207325174E-05    1.31155   1.00369
     8  600.0         8   8.000       9.000      3832.          4.63302250552E-05  6.08876537243E-05  6.09893664528E-05    1.31421   1.00167
     9  600.0         9   9.000       10.00      3832.          4.66757679512E-05  6.16405965550E-05  6.29154707697E-05    1.32061   1.02068
    10  1200.        10   10.00       12.00      3833.          4.71766151754E-05  6.25996121874E-05  6.29690897232E-05    1.32692   1.00590
    11  1200.        11   12.00       14.00      3833.          4.76658327771E-05  6.36196226152E-05  6.58303925881E-05    1.33470   1.03475
    12  1200.        12   14.00       16.00      3832.          4.80661886316E-05  6.44707780838E-05  6.61547195323E-05    1.34129   1.02612
 #=================================================================================================================================================================
 # My Cross Sections
 # The PDF member chosen here is: 2
 #-----------------------------------------------------------------------------------------------------------------------------------------------------------------
 #IObs  BinSize  IODimO  [ Chi               ]  < m12_[GeV]  >  LO_cross_section   NLO_cross_section  NNLO_cross_section   KNLO      KNNLO
 #-----------------------------------------------------------------------------------------------------------------------------------------------------------------
     1  600.0         1   1.000       2.000      3832.          4.97457939153E-05  6.53168401814E-05  6.63281032793E-05    1.31301   1.01548
     2  600.0         2   2.000       3.000      3833.          4.27160582952E-05  5.55986219313E-05  5.60472031287E-05    1.30159   1.00807
     3  600.0         3   3.000       4.000      3833.          4.25181375873E-05  5.51610600264E-05  5.50608929092E-05    1.29735   0.99818
